Unnamed: 0,objectid,redshift,sntype,sncode,sample,feature_amplitude_magn_g,feature_amplitude_magn_r,feature_anderson_darling_normal_magn_g,feature_anderson_darling_normal_magn_r,feature_beyond_1_std_magn_g,feature_beyond_1_std_magn_r,feature_beyond_2_std_magn_g,feature_beyond_2_std_magn_r,feature_cusum_magn_g,feature_cusum_magn_r,feature_inter_percentile_range_2_magn_g,feature_inter_percentile_range_2_magn_r,feature_inter_percentile_range_10_magn_g,feature_inter_percentile_range_10_magn_r,feature_inter_percentile_range_25_magn_g,feature_inter_percentile_range_25_magn_r,feature_kurtosis_magn_g,feature_kurtosis_magn_r,feature_linear_fit_slope_magn_g,feature_linear_fit_slope_magn_r,feature_linear_fit_slope_sigma_magn_g,feature_linear_fit_slope_sigma_magn_r,feature_magnitude_percentage_ratio_40_5_magn_g,feature_magnitude_percentage_ratio_40_5_magn_r,feature_magnitude_percentage_ratio_20_5_magn_g,feature_magnitude_percentage_ratio_20_5_magn_r,feature_mean_magn_g,feature_mean_magn_r,feature_median_absolute_deviation_magn_g,feature_median_absolute_deviation_magn_r,feature_percent_amplitude_magn_g,feature_percent_amplitude_magn_r,feature_median_buffer_range_percentage_10_magn_g,feature_median_buffer_range_percentage_10_magn_r,feature_median_buffer_range_percentage_20_magn_g,feature_median_buffer_range_percentage_20_magn_r,feature_percent_difference_magnitude_percentile_5_magn_g,feature_percent_difference_magnitude_percentile_5_magn_r,feature_percent_difference_magnitude_percentile_10_magn_g,feature_percent_difference_magnitude_percentile_10_magn_r,feature_skew_magn_g,feature_skew_magn_r,feature_standard_deviation_magn_g,feature_standard_deviation_magn_r,feature_stetson_k_magn_g,feature_stetson_k_magn_r,feature_weighted_mean_magn_g,feature_weighted_mean_magn_r,feature_anderson_darling_normal_flux_g,feature_anderson_darling_normal_flux_r,feature_cusum_flux_g,feature_cusum_flux_r,feature_excess_variance_flux_g,feature_excess_variance_flux_r,feature_kurtosis_flux_g,feature_kurtosis_flux_r,feature_mean_variance_flux_g,feature_mean_variance_flux_r,feature_skew_flux_g,feature_skew_flux_r,feature_stetson_k_flux_g,feature_stetson_k_flux_r,hostgal_snsep,hostgal_ellipticity,hostgal_sqradius,hostgal_mag_u,hostgal_mag_g,hostgal_mag_r,hostgal_mag_i,hostgal_mag_z,hostgal_mag_y,hostgal_magerr_u,hostgal_magerr_g,hostgal_magerr_r,hostgal_magerr_i,hostgal_magerr_z,hostgal_magerr_y,i-z,i-zErr,7DCD,orig_sample
0,1259362,-99,other,-99,unspecified,0.0783770949393716,0.1382750905391478,0.0888051045046303,0.0846594641745474,0.5,0.5,0.0,0.0,0.3372094153875299,0.3966387027023654,0.1567541898787432,0.2765501810782957,0.1567541898787432,0.2765501810782957,0.0869362310936914,0.194357355007984,1.1882677303474465,-1.89965888047152,-0.0029518812893781,-0.0143875570725554,0.0004608540605735,0.0007516390729312,0.0873636556821562,0.3244678084205156,0.7327613859629182,0.8216754326806454,16.43512311409822,16.424725506444744,0.0407296614277417,0.0861068440632024,0.0838540031775778,0.1604187574207287,0.0,0.0,0.5,0.0,0.0095393452090076,0.0168487886114684,0.0095393452090076,0.0168487886114684,0.2483190520498629,0.3848369189544596,0.0644527014420564,0.1225027674328038,0.7560659912385069,0.8516651116115851,16.425623528677296,16.40758719572965,0.0875184995282596,0.0821123136179135,0.3376402938670747,0.3988806457794056,0.0033713747267628,0.0122415778812681,1.1568872223615043,-2.122959247360223,0.0591358624484433,0.1114166509158311,-0.1223642297201168,-0.258939891222048,0.7641733281758679,0.8568128895431408,0.48590845,0.2754,11.2121,26.777231,26.341286,25.113878,24.581553,24.402628,24.482296,9.0,0.23451,0.08694,0.08298,0.1422,0.29128,0.1789249999999995,0.1646405794450444,0.221336850423649,pool
1,1417008,-99,other,-99,unspecified,0.9481908518937168,1.2377204932919348,0.2397454273365006,0.6157561243125367,0.5,0.4285714285714285,0.0,0.0,0.3836572198166144,0.4461283859042713,1.896381703787433,2.4754409865838696,1.851643802291296,2.330053093448875,1.4490033124833133,1.6727235063763892,-1.5986168026826473,-2.2516809836374394,0.0264981900047835,0.0025540690426924,0.0034966438175901,0.0026256535949887,0.1424365352769671,0.4087239994485996,0.8348619056206695,0.7357056134862866,19.425070252282843,19.1835045392788,0.7245016562416566,0.4805213661370047,1.0204110408990132,1.9949196204468649,0.3333333333333333,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.0980014483731513,0.1335465156228845,0.0956894775631395,0.1257030458544029,0.1560451641223548,0.3723615030374345,0.7590174014503971,1.0113464667308063,0.9226308045636182,0.9369776753524034,18.70168440648245,18.287440404204705,0.2598069821123064,0.5246865808945026,0.3869840882101091,0.4287376908590765,0.402390198776533,0.5070279839368876,-0.7340700618798754,-1.5794945535554237,0.6394275122029407,0.7164724474102232,0.6558417553002582,0.1404651803527974,0.8997624346636238,0.8203161113660656,0.2453291,0.5865,9.2198,28.653692,25.35517,23.193682,22.141914,21.447954,21.122688,0.92431,0.03042,0.01706,0.01643,0.01638,0.01915,0.6939600000000006,0.0232002004301687,29.41180218302156,pool
2,1435257,-99,other,-99,unspecified,1.6407929500081355,1.573828474543948,0.5755590422733684,0.6451760422901958,0.2,0.2,0.0,0.0,0.349396433822822,0.3535841370367916,3.281585900016271,3.147656949087896,3.281585900016271,3.147656949087896,1.2474654871322102,1.0891403242683602,4.101019937682471,4.537839711017478,-0.1688986863087294,-0.1356300354613855,0.0262566249538145,0.0213923652674935,0.0867606954157992,0.0640108058967398,0.5867606954157998,0.564010805896741,19.62530724812441,19.23334618869911,0.5594916596299697,0.2314082049582317,2.682420562908778,2.803236084867592,0.4,0.2,0.4,0.6,0.169866934987813,0.1678432338711289,0.169866934987813,0.1678432338711289,1.981553031613501,2.1079196510375984,1.3598771376724326,1.3142233806041117,0.9505166354487063,0.9311771170896586,18.85679106622922,18.621576150803133,0.2746546656742956,0.2827526487269233,0.3638387683169115,0.3495716613018075,0.3630490310248369,0.3057142396353638,0.3205155280720149,2.1719668049233327,0.6093090239319231,0.5586426756014323,-0.8190424569009939,-1.4035684859432436,0.8194368922811436,0.8030472790021513,0.0053236056,0.1587,7.5278,24.185017,23.862764,23.26761,22.527924,21.851938,21.608751,0.04478,0.01835,0.01774,0.01736,0.01791,0.02332,0.6759859999999982,0.0249426883073978,18.61431902011535,pool
3,1638657,-99,other,-99,unspecified,1.1031221031218443,1.2517650423410238,0.1060566032204221,0.2767733186408592,0.5,0.25,0.0,0.0,0.4137153719244447,0.3729557266853607,2.2062442062436887,2.503530084682048,2.2062442062436887,2.503530084682048,1.6926604072082725,1.312965596645931,-3.605662757358093,3.789545185639408,-0.0836187058466015,-0.0113131624228362,0.0704870690205328,0.1839410897229347,0.4275416874537171,0.0391131291937714,0.8603281241189029,0.7146674632740305,21.658651792300297,22.30303238539496,0.7969733205504426,0.1497131063867556,1.2018358692292317,2.265304426213447,0.0,0.5,0.0,0.75,0.1016327309998051,0.1148605208099909,0.1016327309998051,0.1148605208099909,-0.1603852066819004,1.934531729455576,1.02284113793903,1.17878249913615,0.9592120918788872,0.7619392158616836,20.74230494730921,21.716582208974224,0.1274400852493527,0.1813555977895643,0.3881983138162107,0.3630880231146868,0.2463600601336286,-4.2267596265217895,-1.0007238796786382,2.906698875491834,0.8480666380874003,0.5871717945314688,0.8784361240173126,-1.6246286244326118,0.8754693943378999,0.8698136699004384,0.5967031,0.2666,7.2082,22.418081,21.815836,20.768784,20.42446,20.095995,19.97119,0.04088,0.01729,0.01595,0.01653,0.01579,0.01746,0.3284650000000013,0.0228596806626864,0.9451119014618458,pool
4,2018431,-99,other,-99,unspecified,0.323559390277202,0.1671230116166331,0.4078777091340378,0.160965194597256,0.1666666666666666,0.4,0.0,0.0,0.3789632548612821,0.392499478647421,0.6471187805544041,0.3342460232332662,0.6150941715657545,0.3342460232332662,0.326873876070568,0.1898438290499839,1.4070836309094972,-0.9017601735573876,0.0234155708546463,-0.0010079005620472,0.0072744055722904,0.0080718246926412,0.0724508832933559,0.2119842189166818,0.6535854294316595,0.7119842189166871,19.811084608247796,19.044480712599288,0.1382995321873075,0.1249749242244746,0.5037532699670209,0.2011745863350107,0.3333333333333333,0.2,0.3333333333333333,0.4,0.0327805251958756,0.0175183655161662,0.0311582828295806,0.0175183655161662,1.316589391535985,-0.0628725019105836,0.2450232058466293,0.1302484365151022,0.8530352088907357,0.9542463822855832,19.850018530931028,19.02068365972357,0.3234656478204267,0.1673916064382766,0.3820971315028779,0.3969035531328487,0.0168790921671183,0.0015381093866125,0.4359897488659916,-0.9859980432828408,0.2038942140581324,0.1200812767167348,-1.012007278943514,0.2435250924367372,0.8450560385540501,0.945557678099592,0.023205059,0.0404,4.839,26.09576,24.510399,23.214233,22.230701,21.86443,21.63142,1.32747,0.08065,0.02623,0.02051,0.02234,0.0341,0.3662710000000011,0.030327144606771,0.3948918831275465,pool
5,2049147,-99,other,-99,unspecified,0.1496979906926743,3.7769516271891694,0.1596089848256743,0.9262846876325238,0.25,0.2,0.0,0.0,0.2843152452716037,0.3577174594067531,0.2993959813853486,7.553903254378341,0.2993959813853486,7.553903254378341,0.2512921103385359,1.966811950306468,-4.300170076989938,4.994003808361789,0.0551995718007526,0.0410417876490959,0.0689607678110385,0.0268353125192531,0.5429284829221545,0.0069135239600774,0.903598160506906,0.5069135239600775,19.847105549623706,20.232209836926053,0.1052229244052807,0.0592524122348123,0.1905442522206506,7.494650842143528,0.0,0.8,0.0,0.8,0.0150696136495777,0.4034009996492446,0.0150696136495777,0.4034009996492446,-0.2950169001890358,2.2344038379118216,0.1495884623546614,3.347885355020519,0.9501697522211632,0.678002799394581,19.833874713781466,18.723834726880497,0.1556709870016244,0.7280728601202912,0.2908530422433673,0.3553282068356121,-0.0095108638498553,0.3109062475247901,-3.9397111121263455,4.723964472999468,0.138639771134837,0.5621477100508935,0.3605329818659317,-2.161684677532241,0.9539898584353024,0.8610046608681173,0.7743971,0.5466,8.1677,27.923635,25.744696,23.87762,22.78087,21.976336,21.385767,0.11772,0.01774,0.01622,0.01578,0.01632,0.01681,0.8045340000000003,0.0227013391675469,29.815276206874373,pool
6,2200376,-99,other,-99,unspecified,0.3221198831544125,1.4547748839169898,0.1393917101757221,0.2839185877441438,0.25,0.25,0.0,0.0,0.2693081585540988,0.3729770920335488,0.6442397663088251,2.90954976783398,0.6442397663088251,2.90954976783398,0.5322617686199926,1.595227895642278,-4.677897973691552,3.772427255133728,0.0176980100748748,-0.023417471329229,0.0120732967115497,0.0079334270761453,0.521897381051743,0.0772369805585834,0.8957115035025172,0.7289639072099027,20.46441517920123,19.95400124071714,0.2493236399257998,0.1646167245569749,0.3557343719228036,2.720769330445318,0.0,0.5,0.0,0.75,0.0314551423242658,0.1505899882431439,0.0314551423242658,0.1505899882431439,-0.1286542059613565,1.937150859295983,0.3146276085343018,1.3993970084048533,0.8913420965124134,0.936601910123516,20.23374449116472,19.267669691958275,0.1369570036189275,0.1893700545705161,0.2819908004257274,0.3614993138650908,0.0267656965208416,0.3753920151450475,-4.242760606324206,2.444559840142766,0.2873851449729295,0.6229177684386895,0.2500176664670315,-1.6109193021913395,0.8750962818647152,0.8881123193227243,0.2574116,0.41283,10.73518,28.19229,24.981256,23.648376,23.140814,22.797413,22.588833,0.77691,0.03783,0.02126,0.02167,0.02711,0.04736,0.343401,0.034706497950672,1.1231652007024135,pool
7,2483636,-99,other,-99,unspecified,0.5536518891002338,0.1600083420467211,0.8561939983786042,0.7510391899666266,0.2857142857142857,0.2,0.0,0.0,0.4422616174135641,0.3555704099591054,1.1073037782004675,0.3200166840934422,1.105971053778152,0.3200166840934422,0.9958422729975176,0.1057109159806337,-2.093322669604379,4.745584319560848,0.0634756255926996,0.0283834999162415,0.0007782632264523,0.0017953722274169,0.4307889294528677,0.0535529265296355,0.9945839123597684,0.55355292652963,16.819660502606155,16.50801992412361,0.0482315153953294,0.009702519972091,1.059072262805138,0.3103141641213511,0.5714285714285714,0.6,0.5714285714285714,0.8,0.0673380836995597,0.0194622727989813,0.0672570371877848,0.0194622727989813,0.600943446650041,2.1700342767061125,0.5273393817685016,0.1379298326127823,0.9386370338709848,0.7407108493128032,16.70563908809415,16.48951170936198,0.8676370294945193,0.7245135836026994,0.4502805995640067,0.3549215280572653,0.1737581900356339,0.0134097658989127,-2.418631040199099,4.669900241901075,0.4170870614403117,0.1166566373170459,-0.4814941719142881,-2.151130648889667,0.9333095077759868,0.8071963901299323,0.0720164,0.27703,6.68422,24.50229,23.872017,22.867743,22.54769,22.29208,22.089903,0.29345,0.03311,0.01949,0.0206,0.02372,0.03837,0.2556100000000008,0.0314165306805191,0.6089118499837691,pool
8,2667322,-99,other,-99,unspecified,0.3296253368226445,0.3130046471469807,0.5626731357596926,0.4387653317102297,0.2,0.2,0.0,0.0,0.3504750481917535,0.4042750949713609,0.659250673645289,0.6260092942939615,0.659250673645289,0.6260092942939615,0.2170725315485917,0.3913049611341961,4.251291659274079,0.1453838403809833,-0.0384796194677964,-0.0339642798065938,0.0049826840514129,0.0025967248105305,0.0528477408533151,0.2500523444842529,0.5528477408533098,0.7500523444842502,18.628105546930996,18.08343557967157,0.0397168513065651,0.0220576356635611,0.5541808790512945,0.6039516586304003,0.4,0.6,0.6,0.6,0.035565324033738,0.0349568580082238,0.035565324033738,0.0349568580082238,2.007575825424032,1.2228845768911836,0.2638749249204603,0.2756690332134918,0.7428194961203534,0.9267090094892102,18.600439336336077,18.03590478116637,0.4726843051137248,0.4267551894968133,0.3456718825280332,0.4144240950016575,0.0405290296284781,0.0515346141130011,3.817350512125549,-0.7842952212249328,0.208645890168438,0.2292760607142816,-1.858929008363483,-1.0497701308210414,0.8692136665366417,0.9395509115364804,0.22644627,0.8478,3.6498,25.17112,25.455606,26.249325,25.995913,25.900503,26.462164,1.15443,0.15771,0.22455,0.46554,0.40513,0.71636,0.0954100000000011,0.6171367826503295,1.5313882029552313,pool
9,2704903,-99,other,-99,unspecified,0.1820290604325656,0.2619003640204536,0.095519321376271,0.3232100444199531,0.5,0.2,0.0,0.0,0.3438695125127776,0.426394435287899,0.3640581208651312,0.5238007280409072,0.3640581208651312,0.5238007280409072,0.2095673312025212,0.430295815798221,1.2617427817572633,-2.644294976241201,0.02056723066569,0.0312935262909286,0.0132909597928749,0.0037760103879005,0.1210280299931445,0.3809917496775166,0.7453855294164062,0.88099174967752,18.89156876665662,17.965210779338395,0.0832516945856518,0.1150893726773922,0.2250930024637831,0.4087113553635149,0.0,0.2,0.5,0.2,0.0192929205601352,0.0293238103092817,0.0192929205601352,0.0293238103092817,0.7884246576627887,0.5686469514589906,0.1523596332160546,0.2405042964991522,0.8855722745910064,0.9289418038331168,18.93019585597765,17.95456880990937,0.0851023579964379,0.3071264792956166,0.3477658697879028,0.4250664719051895,-0.0105950882529473,0.0413124864852176,0.9937541835937792,-2.778156454378077,0.1363205573522722,0.2111631829736238,-0.538047623352924,-0.4823105833715577,0.9317055969674988,0.9515876611368692,0.4083128,0.9886,101.6917,21.485325,20.5624,19.855639,19.602371,19.387735,19.281155,0.02758,0.01614,0.01573,0.01596,0.01557,0.01653,0.2146360000000022,0.0222967822790643,0.4160172652528282,pool
